,network_score,model_score,moded_network_score,diff,network_model_score
YJR066W,0.923319585641137,0.6072533120377954,0.7459415828909277,-0.3160662736033416,0.8800062823204129
YFR029W,0.9435945187327698,0.626373673535525,-0.09882951830748454,-0.3172208451972448,0.9174978593062069
YNL305C,0.8273574626858858,0.5097980753446769,-7.342914769621654,-0.3175593873412089,0.7897607989841637
YJL186W,0.8438045540042911,0.5262303378140629,0.5292800109341731,-0.3175742161902282,0.9454230908674902
YMR194W,0.715648639743125,0.3979658560952537,0.4479731285147779,-0.3176827836478713,0.5255157313121078
YMR194C-B,0.5362898658167548,0.21819968972055326,-0.9517178682546428,-0.3180901760962015,0.45232132704837413
YGR261C,0.6559532887904074,0.3377112489095243,0.48014119268839794,-0.31824203988088307,0.5917789684192171
YOR329C,0.8497122782623275,0.5312122421911681,0.3209032212406421,-0.3185000360711594,0.8289738636350914
YGL057C,0.8954792190250619,0.5766012328626157,0.5409691080882241,-0.3188779861624462,0.9135438016908881
YIL026C,0.8451299035600249,0.5259178241796343,0.2395874104164415,-0.31921207938039065,0.9628820814982084
YBL007C,0.9667825294866832,0.6473432877592475,0.8452324861363015,-0.31943924172743565,0.9666314146121319
YKR082W,0.7153577784204451,0.39584423654655154,0.6351422557917006,-0.3195135418738936,0.5787890860429314
YML006C,0.8058766429879587,0.48629668469005616,-0.09214466688407486,-0.31957995829790253,0.6883990429232572
YFR015C,0.774125187953213,0.4540103968679573,0.23909658035964343,-0.32011479108525565,0.6659151674842634
YDR200C,0.8425304217000148,0.5221141177718363,-0.8536319586770993,-0.32041630392817855,0.8464556766334367
YKL140W,0.9108318244280851,0.5901424145454535,0.7068889820525486,-0.3206894098826316,0.9103102426863731
YBR020W,0.9143451206843927,0.5931887239157734,0.8508420322576469,-0.3211563967686193,0.9286397893253405
YOR052C,0.8735069419395798,0.5520428084626614,0.11528613290343881,-0.3214641334769184,0.8854584698602909
YKR008W,0.658937661569247,0.3373390887572649,0.6884879725003881,-0.3215985728119821,0.7294517915638441
YBR069C,0.5675080055654497,0.24558613136938834,-0.20814606463430096,-0.32192187419606133,0.5029448746159473
YGR077C,0.8583137622510779,0.5360731842399491,0.757363083994524,-0.3222405780111288,0.8929374590548937
YMR117C,0.585369548393771,0.2630272675440334,0.7686479074495081,-0.3223422808497376,0.8010503009423129
YPL194W,0.7960615000092999,0.4729843613507716,0.7367879446973171,-0.3230771386585283,0.7784447275880121
YDR484W,0.8021847267545608,0.4790324373881494,0.11110097252551332,-0.3231522893664114,0.8465354458783401
YLL027W,0.857657854510246,0.5344990079170593,0.3988031064719848,-0.3231588465931867,0.8815342657147209
YJL089W,0.7775707015710851,0.4543792728742543,-0.062402184880413714,-0.3231914286968308,0.775976888463713
YPL226W,0.417375414074615,0.09356858393381617,-0.6138478519335155,-0.3238068301407988,0.525755606923022
YBR050C,0.7108238269593028,0.3868416752774988,0.06372673552677854,-0.323982151681804,0.7307053398640777
YOR137C,0.9200945197220879,0.5960654721318085,0.30294009373650777,-0.3240290475902794,0.9096193709050975
YDL061C,0.9862815360706536,0.6617036821274851,0.9071866310878614,-0.3245778539431685,0.9682005796817277
YHR198C,0.8840261497408515,0.558441344325586,0.6403137515697529,-0.32558480541526547,0.9003466032459431
YKL103C,0.75871856115114,0.43289234244884534,-0.22645338813457738,-0.32582621870229467,0.7109949792539072
YOR018W,0.907327523360084,0.5811093908402212,0.37284697906040887,-0.32621813251986287,0.8952086131878529
YKL159C,0.9369371296514661,0.6098653858538865,0.6302589030850553,-0.32707174379757964,0.9671306654929416
YLR340W,0.7683244451303076,0.4411299795431657,0.4435979375270612,-0.32719446558714194,0.6177518479532134
YDL145C,0.9442752499279948,0.6170400120007968,-0.5819016917230435,-0.327235237927198,0.94724606536268
YHR049W,0.006073174161133288,-0.32123207706372825,-1.0598038890050794,-0.32730525122486154,-0.10076113285185806
YJL065C,0.7337699961629973,0.40637346389462425,0.5851080662207458,-0.32739653226837306,0.7300469590201842
YKR095W,0.7596041598908494,0.4317454499899731,0.41818207398002694,-0.3278587099008763,0.7714910354560318
