,network_score,model_score,moded_network_score,diff,network_model_score,all_linear_score
YDR419W,0.9276281466932944,0.2234576745605396,0.6981594886322731,-0.7041704721327549,0.8851129990673198,-0.43943519297609857
YGR089W,0.7447936607650907,0.040002971400039,0.8647492381336004,-0.7047906893650516,0.7195241623277697,-5.381798723065755
YJR035W,0.8987918733328145,0.1938226900903252,0.7529577711951791,-0.7049691832424893,0.8695403084210785,-211.83918637611197
YPL078C,0.6577137160580204,-0.0473395437667836,0.0131103202227591,-0.705053259824804,0.4803973702676096,-0.863262366208674
YML050W,0.9260082010050426,0.2203415769481097,0.9175511814373722,-0.7056666240569328,0.8882339293727217,0.4396335558926209
YMR032W,0.43200441475667,-0.2739931395233921,-0.9774951153030818,-0.7059975542800622,-0.0875335680494009,-5.341938206491104
YHR025W,0.5250612503739602,-0.1816449071410557,-0.008962402393837,-0.706706157515016,0.4428508442776284,-6.8433336251290715
YOR004W,-2.326403392849767,-3.034573554118256,-7.938184908732113,-0.7081701612684892,-1.1173864088401428,0.18460762384746354
YPR134W,0.9358445731814936,0.2264360649641494,0.758898167421333,-0.7094085082173442,0.964867103638542,-0.5600003847801439
YEL031W,0.9357048932620284,0.2259398735295983,0.9019549524993892,-0.7097650197324302,0.9512454133443012,-1.0530104376919664
YGR264C,0.4042524977327363,-0.3073020986497785,-0.3319989192318393,-0.7115545963825148,0.5943709485027678,0.42250726812667405
YOR374W,0.694839262224722,-0.0173752912426488,-1.0360686636253185,-0.7122145534673708,0.6106305884572012,0.3903551008174737
YML019W,0.7288096040404872,0.0165317311706895,0.6897888531155496,-0.7122778728697977,0.539717239413881,-0.8167998704247313
YML054C,0.824912937722597,0.1116939179959889,-0.813288062560136,-0.7132190197266081,0.6600919018613594,-1.811363249930689
YDL209C,-0.6004151193443306,-1.314531282925251,-1.1372103820672992,-0.7141161635809203,0.5806208552583081,-0.2898678336450803
YER088C,0.9347159404390196,0.2192365400203918,0.949434621409844,-0.7154794004186278,0.8938226956509557,0.21750053906405703
YLR082C,0.7154128433262636,-0.0018195436939438,0.6120044131019032,-0.7172323870202075,0.7562162602369473,0.021403921916870083
YGL043W,0.8510810678146618,0.1326752479472935,-0.2139336806453,-0.7184058198673682,0.9018040220748,-5.49086179846363
YFL045C,0.4185162618277209,-0.3002342855106912,0.4923436091049511,-0.7187505473384121,0.4508375825641253,-0.8923578800162915
YMR123W,0.3288112496550001,-0.3934527703289125,-0.4946470880150924,-0.7222640199839127,0.6263601531830062,-2.4723264987675084
YPL231W,-0.2541622469832827,-0.9764528522955752,-4.880533785804896,-0.7222906053122924,-0.1289473996261991,-0.567761341718135
YCL058C,0.365260831469579,-0.3577227789906545,-0.5054710704332954,-0.7229836104602335,0.794576059023415,0.2788777478535661
YJL155C,0.8854334753037603,0.1611570485117701,-1.212969648633269,-0.7242764267919901,0.9034785749352748,-2.375704203704142
YPL105C,0.3649268952530412,-0.3595171812161348,0.0752890070357505,-0.7244440764691761,0.5687196078893032,0.05592783956477616
YDR383C,0.9007592112260444,0.1758235056389748,0.6131699486171339,-0.7249357055870694,0.8908464790498465,-2.2383702733863258
YOR360C,0.4552414728749705,-0.2699610838143944,0.0688751465200826,-0.725202556689365,0.6276801150898764,-3.007350917572411
YLR459W,0.8613319311918717,0.1357107644361112,0.4245252277913441,-0.7256211667557605,0.8380501476865668,-2.478297170445329
YLR114C,0.8755566047986518,0.1493265887954292,0.0609885198897681,-0.7262300160032226,0.9456724869214284,-1.346334757111848
YIL031W,0.9171449631299824,0.1908012146725691,0.8574189866460211,-0.7263437484574133,0.8630176664115017,-0.07279644065319332
YPR129W,0.8873919131295871,0.1608538933856912,0.8138102523884079,-0.7265380197438959,0.9068402195074448,0.34133162448981486
YKR037C,0.747385741084365,0.0204739983761189,0.7019924099327044,-0.726911742708246,0.8269482946583772,-1.1350583405530503
YER093C,0.9080656706341094,0.1803460338454969,0.6602464647624262,-0.7277196367886124,0.9254961845609764,-0.1719608267709179
YIL153W,0.7781219648419193,0.049892511423122,0.6041226376234854,-0.7282294534187973,0.7260634389642655,-0.9862902458050445
YPL045W,0.903245571359571,0.1744474028031508,0.5161455991271069,-0.7287981685564201,0.8441116231213623,-2.5132935125223437
YOR060C,0.8722253578589867,0.1431459468234605,0.1415861511950961,-0.7290794110355262,0.8688348456120919,-0.6481371498161081
YNL310C,0.8777591377525042,0.1469147237669629,-2.3125762390737026,-0.7308444139855413,0.918970888569467,-46.444486588497796
YNL313C,-0.9038345316650204,-1.6348293445551398,-0.9539798137570564,-0.7309948128901196,-0.1851644011036084,-0.3785016858309427
YKL029C,0.1662396519664761,-0.5651750566319613,0.4686364482838004,-0.7314147085984375,0.6134585821512115,-0.3889984721905667
YNL133C,0.8528004095017874,0.1204784841725203,0.5144847208194068,-0.732321925329267,0.8265050040631639,-14.090330061856159
YLR266C,0.905087986082566,0.1722395716731504,0.974912188501614,-0.7328484144094156,0.9172478836458436,-0.06973140661199002
YNL220W,0.8172296592109973,0.0836004309213825,0.265830492660384,-0.7336292282896147,0.8206788682324104,-10.34179485085204
YER133W,0.6931474918481069,-0.0407872453709949,0.018925714922344,-0.7339347372191019,0.706920848272344,-0.4257756790344966
YJL111W,0.6687338315600801,-0.0653791131982779,-0.0181344259306246,-0.7341129447583581,0.7365438386028504,-1.11824254738717
YAL010C,0.9174168941710232,0.183138596488505,0.7217155792756642,-0.7342782976825182,0.9221985517415242,-0.13739234924152396
YFR005C,0.6453709529815277,-0.0910021289447684,0.0785021723911701,-0.7363730819262961,0.3432682706798521,-2.0668902168179315
YPL246C,0.1118911118977361,-0.6255520867931337,-0.4330765931669367,-0.7374431986908698,-0.0602936346762512,-1.5802958987858815
