,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_top_feature_num,linear_top_feature_num,test_var,test_std
YDL167C,0.6848556539498198,0.4918549214795025,0.6630399527551751,0.33525693624780195,0.506272400943456,0.485933458953521,0.029225079383960028,0.03711032872778912,0.03021969972781124,0.04244512791540088,0.03658007923752845,0.03732592752910821,7,7,0.002757750785587936,0.052514291250934125
YLR212C,0.7628393795059234,0.6666851474114268,0.7442140839533824,0.5327301828101774,0.7578771450272445,0.624947012256357,0.023936105436445053,0.028376546099109695,0.024858247869864885,0.033598204163768325,0.024185222844099512,0.030100833049626373,7,10,0.002458201834194846,0.04958025649585575
YGR222W,0.6245825302483734,0.5720718188708542,0.6051149432904106,0.5181333488870669,0.6313700071872891,0.5273522389501288,0.030741755276433837,0.03282138214596862,0.03152875135400201,0.03482850694933095,0.03046258512069704,0.034493735140419785,7,10,0.002561509562865013,0.0506113580420938
YGL222C,0.7324414359573241,0.7260980983277474,0.7013640582219376,0.646841164112606,0.6628940932110727,0.4936124518141326,0.03119224608911858,0.03155983645880924,0.03295400914714957,0.03583622532304957,0.03501228068573113,0.04291199734699935,8,9,0.003700220274862684,0.06082943592425204
YDR404C,0.5916440585803742,0.32352044627307386,0.5485194090585843,0.13112802314707717,0.47676400406567343,0.3258501529618284,0.03851857287664453,0.04957675374447289,0.04050142382158823,0.056186068438034045,0.04360131176533166,0.04949131220609429,6,9,0.0036970441348229697,0.06080332338633283
YKL144C,0.5014069558229999,0.5473758399561175,0.5001752985253856,0.3629522439827081,0.4842315748035706,0.4655134926416231,0.03383882763069775,0.03224119025972576,0.03388059729875501,0.038249714301155535,0.034416727739897755,0.03503568182354582,7,9,0.002336886065102185,0.04834134943402165
YBR084C-A,0.8594408449129385,0.8914758278988963,0.8611408910838078,0.7519859868275502,0.742453065189496,0.624329089054294,0.47578665109367463,0.41806703547441737,0.4729006066333865,0.6320054073274904,0.6440370868107335,0.77783318576924,6,10,1.6387718911489255,1.2801452617374818
YBR290W,0.4341029113508357,0.4845172555988425,0.40505382111619903,0.4907628533893703,0.47329883523343963,0.4304224498804635,0.05417206155559523,0.0517027566925638,0.05554506422160182,0.05138858642506863,0.052262330597911265,0.05434793722454771,6,9,0.005276748614850909,0.072641232195296
YGL120C,0.7520192338441221,0.49579260356637245,0.7410556084900696,0.49889923586230256,0.6149489250380197,0.3511247142796632,0.029461963841247815,0.04201044671093976,0.030106200386544855,0.041880824787133605,0.03671232281718994,0.047657725337444695,9,8,0.0035617097469091818,0.059680061552491566
YDR347W,0.6891450231884552,0.5541509859842224,0.6813917242486209,0.3670468098913213,0.6138919051239501,0.30030628890588973,0.027089787432312856,0.032442968888674456,0.02742554148388624,0.03865560558093459,0.030191253048873417,0.04064252392271772,7,9,0.00240218531382105,0.04901209354660389
YDL178W,0.6372822038475061,0.5856534063536727,0.5734951450725374,0.4951127622191185,0.5924155677761272,0.4320843505446237,0.03065804301681417,0.032767392525319926,0.033244666973460464,0.03617072333065225,0.03249890969306857,0.03836205956642627,8,8,0.0026367753641059082,0.05134954103111252
YMR012W,0.8968416536811223,0.8642939760700159,0.8542268031934542,0.7026903453006079,0.8647623385448133,0.7887325824173663,0.055228148097991106,0.06334434621623201,0.06565187500558044,0.09375896428785033,0.06323494150237377,0.07903592799075031,6,8,0.030086365548810518,0.17345421744313547
YPL061W,0.8208168577300009,0.823605691171757,0.8305610718183088,0.8340880393395325,0.9044255918689793,0.7553282994112119,0.3157413980816282,0.31327463882566575,0.3070361779581673,0.30382380700563394,0.23059705794395588,0.3689562093829404,6,8,0.566133748377804,0.7524185991705707
YER129W,0.7761916015397357,0.8417331579156762,0.7846050967026583,0.6529594579913174,0.7720002590984444,0.5933655920566738,0.02194536833151089,0.01845438824781492,0.021528927541139095,0.02732717834775532,0.022149904670725085,0.029580584202119266,7,9,0.0021895885194421305,0.04679303921997513
YBL091C-A,0.8211193734379127,0.7291758587666255,0.806060148066494,0.7104341809313018,0.8410465234493122,0.7494540922006453,0.028367975400866125,0.034905219653903356,0.029537940940633108,0.036092780117581,0.026741249956640657,0.03357301502583296,6,9,0.004577691420702561,0.06765863892144566
YBR192W,0.7402081877519796,0.7313190032979129,0.73635097731285,0.6835752158349662,0.7398598358598838,0.6013539572354392,0.022026956774745293,0.022400630642796567,0.02218987484352254,0.02430955540118061,0.022041719675705052,0.027285725044892982,7,9,0.0019003634873692638,0.04359315872208922
YEL040W,0.9249562028494596,0.8330203574940244,0.9287315793467185,0.7567032347734519,0.9023043898634963,0.5446067886698198,0.15774297795556727,0.23530133893258923,0.15372383213963695,0.28402776892077697,0.1799824501750725,0.3885848916881119,5,10,0.33739481786338477,0.580856968507209
YGL089C,0.5769303667789641,-0.5982192534811681,0.7095100133812695,-0.6537546604386952,-0.23143635194991985,-1.0600924296976273,0.04214839946640842,0.08192064057681518,0.034925348128866524,0.08333178813506407,0.07190865164260375,0.09300761622195546,8,6,0.004272710410687851,0.0653659728810629
YPL022W,0.8511061885208452,0.7712912295256278,0.8009599697723571,0.5320850112135287,0.8461480905521822,0.7363833602598349,0.02771653046521421,0.03435120297122113,0.03204577325615711,0.049134214741813405,0.02817422550096056,0.036879663596509286,6,9,0.005249938547344423,0.0724564596660948
YMR258C,0.8004549017850051,0.6563950158973546,0.7677132766687943,0.685220314146811,0.7402113556692148,0.6715206225644412,0.02824871845160857,0.03706875035903204,0.030478277020839138,0.03547983300118455,0.03223207760295971,0.03624367877627238,6,9,0.004069205045050493,0.06379032093547181
YOR276W,0.8984982484336665,0.8772651422514282,0.8674383844304071,0.7982428357270461,0.8765586315549511,0.8387861749724339,0.07720052777349909,0.08489213632027626,0.08822514791550222,0.10884236844377435,0.08513612216842574,0.09729368266051462,5,10,0.059747555298665905,0.2444331305258473
YKR046C,0.7704129866010712,0.6596802965099989,0.6245691990515934,-0.016204569410420033,0.8604723118563071,0.5799549720581803,1.991656998682174,2.4248475210960363,2.546864485351812,4.190168224947031,1.5526411302766903,2.693945538356252,5,8,17.580649386985066,4.192928497719114
YML086C,0.39675563123744495,0.20723371807435498,0.3354739114193611,0.26619607480135365,0.485841430215628,0.13681185431865017,0.029812476110564756,0.034176217532488354,0.03129013435188157,0.032880728064836356,0.027523264867796597,0.03566187257375694,9,10,0.0014991875195586714,0.03871934296393305
YDR524C,0.6632381174458085,0.7225870242223282,0.6234880526825342,0.636572084617787,0.6171952335915161,0.3962373549329188,0.028230307885128876,0.02562226601816123,0.029849944718218974,0.02932670643543684,0.030098359050025208,0.03779960574974437,8,9,0.002408027479404617,0.04907165657897252
YJR007W,0.6332525020867383,0.31837229951084023,0.5100299672155364,0.2741232998127697,0.6688946148150319,0.5531625705753374,0.075102808695688,0.10238732930374075,0.08680752191927439,0.10565839940893924,0.0713601446000778,0.0828986334835431,6,9,0.015649423245679726,0.12509765483685026
YGL205W,0.6726197435766946,0.7258388782127053,0.5865347458880263,0.5362271066292542,0.61938401046969,0.5770179007378796,0.09791528061960138,0.08960395202856208,0.11003826653853395,0.11654050920452699,0.10557661781064623,0.1112974527458562,6,9,0.029798993756135494,0.17262385048461726
YOL022C,0.5555817783679247,0.724089876316544,0.5501463109704137,0.6606609477499543,0.5913042514398326,0.4348809382676361,0.03372594851890341,0.026573702099326933,0.03393156473003996,0.029470341295283867,0.03234210659536238,0.03803104180218515,9,9,0.0026042916962596093,0.05103226132810116
