,linear,ridge,lasso,elastic_net,bayesian_ridge,quantile,quadratic,linear_gs,ridge_gs,lasso_gs,elastic_net_gs,bayesian_ridge_gs,quantile_gs,quadratic_gs
YBL099W,-136.3137798696914,0.32369670001694706,-0.06555908938797073,-0.06555908938797073,-5.5658797633011226,-0.10090909616391519,-3.6140078908403996,-0.8443088759223434,0.12121843007375754,-0.06555908938797073,-0.06555908938797073,-0.31142910521106026,-0.10120850346699095,-1.9480413804288914
YDL054C,-3.254700958145399,0.758970333990992,-0.01627766554915655,-0.01627766554915655,0.14304387381371453,-0.09161228440873725,-4.588873551935691,-0.34252685264690186,0.6868895761357516,-0.01627766554915655,-0.01627766554915655,0.07615155572620724,-0.09162621707321805,-55.48556917175446
YHL029C,-55.785781008623566,0.5519234552112738,-0.0022415386475103105,-0.0022415386475103105,0.48355603990405005,-0.10047030430443171,-5.683472795920589,-2.9831761882334127,0.39481129263547676,-0.0022415386475103105,-0.0022415386475103105,-0.15320127837277275,-0.09804925444424106,-28.76954288712317
YOL135C,0.11848225253285105,0.12263818706424323,-0.17942706223983196,-0.17942706223983196,-4.118681649213167,-0.22421419315641988,-0.9283045904994272,-17.268949333450422,0.21858572590609127,-0.17942706223983196,-0.17942706223983196,-16.62628811624199,-0.22437003004015743,-861.4578310794243
YOR046C,-44.50596064807894,0.6016221329994065,-0.012576888722270807,-0.012576888722270807,0.2805374212173176,-0.0031302990921815432,-1.554300183982909,0.13422754808764858,0.3002500018973243,-0.012576888722270807,-0.012576888722270807,0.31962750951458885,-0.003132812249935668,-6.104805299581623
YMR025W,-3.880484348859947,0.875144421163085,-0.09701132552802094,-0.09701132552802094,0.8168267746277091,-0.009651514542003081,-3.9009588933215573,0.6998276436388873,0.7221871256726056,-0.09701132552802094,-0.09701132552802094,0.7256392018151311,-0.009965257684746431,-3.9403631938454113
YPL058C,-36.56166874744717,0.23638461665753363,-0.1976911410416946,-0.1976911410416946,0.19987508285068067,-0.22228223594207197,-3.2284420920621457,-109.172505143815,0.19979610833301453,-0.1976911410416946,-0.1976911410416946,-20.0717063309793,-0.22233847518401784,-28.10200089381585
YDR019C,-141.6701589750901,-0.5150553898837198,-0.305142310603165,-0.305142310603165,-1.529619755187975,-0.7407492222119756,-7.359689246761048,-1.683623180216653,-0.42931913976375813,-0.305142310603165,-0.305142310603165,-1.2325812607068065,-0.7415023222428274,-11.78358206782409
YBR043C,-212.81390541645803,0.25157220526734425,-0.04177273958055738,-0.04177273958055738,0.0724274539393579,-0.009745608770316272,-16.355329398131236,0.3207210966738734,-0.014711504062193903,-0.04177273958055738,-0.04177273958055738,0.3838493554716653,-0.009943087210800394,-17.769444092623228
YJL123C,-930.1239430557127,0.1310423020271465,-0.008760499852953352,-0.008760499852953352,-1.1911803624004014,-0.003786538553862906,-9.233550111655289,0.4269120019509093,0.5169700613481039,-0.008760499852953352,-0.008760499852953352,0.5185033961514989,-0.0037687907306569457,-6.937945478721361
YIL088C,-2.7857158567007527,0.6060873451182792,-0.026079192410922714,-0.026079192410922714,0.6612920072305727,-0.06802544159589141,-0.9396055566341246,-0.5598545544785749,0.38496603038423194,-0.026079192410922714,-0.026079192410922714,0.3965429085920129,-0.067804966551954,-3.2315394602501417
YGR286C,-872.518504928539,0.14126345742139002,-0.07972061482980353,-0.07972061482980353,0.351941970103939,-0.05511784415184384,-10.358751649686905,-12.68075817212822,-0.3731219071286873,-0.07972061482980353,-0.07972061482980353,-9.6607555516682,-0.05410619826991048,-115.59141765379566
YMR028W,0.141014647027482,0.8752094757162983,-0.04286983223021856,-0.04286983223021856,0.6537213457085371,-0.000207720150399604,-5.144903904981647,0.8719312807089739,0.7823340013193677,-0.04286983223021856,-0.04286983223021856,0.8631220311117986,-0.0003302294921512239,-8.762545762028047
YHR068W,-17.897385228172826,0.7739671465615572,-0.02683786256854126,-0.02683786256854126,0.18357464195126538,-1.3983441496690171e+195,-2.387344437889758,0.7158181462424704,0.41960687797657026,-0.02683786256854126,-0.02683786256854126,0.5818883327706148,-0.05923510376297436,-10.535197640688834
YJL140W,-86.91364930379788,0.7278368492257251,-0.06931655920297342,-0.06931655920297342,0.735301293770487,-0.0017413540805251149,-14.436891687956496,0.3667460440906163,0.6888617056177861,-0.06931655920297342,-0.06931655920297342,0.7366184388878139,-0.0017734028504601262,-47.6254919102946
YDR380W,-12.50346637481604,-1.6657835929912719,-0.01957225001470775,-0.005632178706584279,-1.4184231340229312,-0.21014898703923013,-9.591005809242592,-218.6766326527363,-3.498589980659558,-0.01957225001470775,-0.01957225001470775,-3.647348975578714,-0.21031536257121286,-48.871674503970986
YML114C,0.10739279600068474,0.6898931454534838,-0.05509471655037834,-0.05509471655037834,0.6600432862392165,-0.10878958160924279,-5.9889585129562715,0.13320013401199904,0.6864738884700601,-0.05509471655037834,-0.05509471655037834,0.6472985815528616,-0.1122381806682815,-8.418600183020127
YDL235C,-23.89997158560086,0.535647230767585,-0.05331848209007095,-0.05331848209007095,0.14778956479100036,-0.2844798198636782,-2.348781989604972,-5.052075155099374,0.5138805947079161,-0.05331848209007095,-0.05331848209007095,-3.1529325208488865,-0.2209396123288747,-36.58385375679735
YDL136W,-34.77041009159848,0.7293791995685384,-0.31532684505006814,-0.31532684505006814,0.7592634587309735,-0.0017927687583234597,0.022683983529740992,-0.5787251854275974,0.6030095633124015,-0.31532684505006814,-0.31532684505006814,0.7072498501938833,-0.001847033609854165,-6.850515481942523
YLR247C,-0.5685260735254092,0.8017024396790408,-0.045411298368922326,-0.045411298368922326,0.8457057766030467,-0.030055867132213532,-1.9511490121978041,0.7391518654073038,0.5313066578521561,-0.045411298368922326,-0.045411298368922326,0.7624781418046849,-0.031336298630046944,-7.049169851033584
YKL012W,-73.32090887659083,0.7097971324939937,-0.02923612724454827,-0.02923612724454827,0.5175336484800219,-0.003766046444122262,-3.077524866222147,0.5737662781633386,0.4489160404287792,-0.02923612724454827,-0.02923612724454827,0.574113539027761,-0.0037361930608328375,-25.90186075715885
YNL197C,-141.23100731730054,0.18054325907982438,-1.0932864380253093e-05,-1.0932864380253093e-05,0.20414484400125554,-0.0025944546222766984,-12.052232980449325,-0.9143605766664522,-0.22278556716570042,-1.0932864380253093e-05,-1.0932864380253093e-05,-0.14249056015124473,-0.002549087785067794,-59.29401253597168
YDR449C,-82.07070401450781,0.7151903562055475,-0.003892993021325175,-0.003892993021325175,0.7201413891299299,-0.030795178185139882,0.35310897328143254,0.5427795140483357,0.6820253654469066,-0.003892993021325175,-0.003892993021325175,0.7662721351859497,-0.029767958182588927,-85.84128955327922
