gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h
yczK,2.8015,1.7895,7.596,23.7198,14.4798,1.2819,4.6686,4.9576,1.4165,0.0,2.5166,1.3532,9.5098,26.7497,4.8212,1.1127,3.9494,14.0428,3.5743,3.7396
yczL,1.333,8.5144,3828.2042,4293.7127,5510.6078,6.0993,38.503,4263.266,7328.7178,7246.3788,3.5922,87.5638,2639.902,4176.7114,7967.6614,2.1178,129.0342,2757.7003,7582.6854,7475.4826
yczN,110.9157,150.032,419.8607,509.456,465.2004,81.6026,128.0577,767.171,1348.147,283.2227,95.7292,105.0495,404.9873,402.0335,543.9484,98.4776,138.9904,313.1745,919.372,476.1064
yczO,241.9187,681.4585,231.4166,149.8422,95.587,232.3954,447.3893,296.0454,47.1042,55.5124,242.964,373.0594,303.1268,179.0575,60.3379,245.8955,398.2408,288.9566,58.7914,37.441
ydaC,45.8623,136.9034,17.2372,34.1751,25.6365,54.8537,78.6985,28.9286,5.5102,6.2909,55.4753,57.4655,30.8284,40.5831,9.8984,54.1086,63.5879,28.1417,11.9732,3.2327
ydaD,105.6794,246.8393,57.7775,29.5281,20.8368,125.7014,163.7953,55.3746,5.5326,8.7766,137.8724,132.1354,68.4239,37.6136,8.5897,134.506,100.9453,65.6101,11.5116,4.3563
ydaE,94.4492,189.1607,34.6795,32.8579,36.3785,104.8939,118.5943,34.8214,13.9287,14.539,103.8462,95.9952,49.619,48.0985,16.9316,116.0629,73.5101,44.8336,19.6656,12.2575
ydaF,118.5748,127.3822,156.3709,204.0893,268.5786,144.6866,111.7747,172.2147,317.4824,333.1119,116.2002,118.4547,120.6662,178.0656,258.1694,129.8762,122.4164,114.2087,274.6816,268.5987
ydaG,1128.8688,2506.9177,1226.2582,267.4321,343.9605,1354.9327,2111.093,1317.9787,433.8627,576.5314,1423.7041,1886.6592,1152.8494,245.801,390.6986,1266.4729,1791.9436,1048.6102,423.7584,383.8939
ydaH,72.5422,99.7126,38.5091,51.5442,47.2182,69.4691,64.9506,26.7222,56.0241,59.6501,70.3896,71.2625,33.5458,62.194,32.6591,71.9737,48.3287,34.5916,60.1405,39.7687
ydaJ,38.0204,51.7711,27.1616,32.3416,22.2674,36.4615,38.6989,23.0992,12.6624,10.724,35.9947,31.8911,39.0832,41.0427,12.7989,38.3421,25.4624,31.3316,14.9109,11.3458
ydaK,17.1688,20.0747,12.94,22.4485,18.5116,15.9785,14.5481,6.5229,6.4739,3.2252,11.5018,12.0881,21.1674,38.9001,7.345,17.7999,10.9396,20.9518,5.4453,4.9203
