gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
ysfB,10.9743,12.3031,18.7039,41.5079,32.0566,90.8555,37.176,17.217,14.9293,18.4959,26.2719,29.994,46.7155,60.4975,13.0773,14.929,23.8941,46.7054,21.3273,42.4452,73.1596,14.9451,18.3127,26.9439,26.2888,25.5115,48.6705,58.3863
ysfE,92.8459,99.0609,92.9529,100.7848,112.772,138.1484,167.0215,98.9747,107.6842,111.9444,86.6672,95.1763,135.778,118.9281,89.82,122.2206,92.0284,92.7454,105.3519,109.1923,146.1131,77.8094,133.2874,81.8296,111.0819,113.4952,117.8771,141.2293
ysgA,200.1356,183.5956,109.7916,101.1665,119.8196,113.063,150.8386,172.2214,129.4259,113.5542,131.2314,143.7692,153.8075,129.7303,172.9262,159.6752,100.4336,110.7931,132.1341,152.4416,107.2388,189.0453,149.7274,78.9503,125.9082,139.4104,122.5689,122.2569
yshA,285.4068,288.4982,137.5765,204.3153,242.9965,174.0051,388.327,288.4555,207.1175,147.3837,285.6993,293.7799,259.3958,293.1135,310.7679,207.9491,102.5222,223.1545,315.3207,282.8206,228.6053,299.2497,197.7903,105.0983,295.8888,272.8002,230.6388,261.6027
yshB,165.2861,136.4211,69.4909,90.4152,90.4519,99.0378,139.2524,152.538,109.8685,57.514,121.1323,121.7842,119.6294,119.9043,158.9048,117.0653,45.9308,101.4324,135.8329,132.503,108.8013,161.1787,100.3615,41.4686,125.1866,123.5389,102.4921,116.0381
yshC,145.3128,95.9633,104.3889,89.0497,84.2454,89.3541,92.1213,132.7196,95.0309,108.4282,105.9651,120.8439,96.8513,84.6566,131.836,87.3879,85.9091,92.4274,89.0048,93.4218,86.2486,140.5016,89.3694,89.8305,103.1636,94.7969,92.6657,87.483
yshE,145.6966,103.2319,154.7002,109.9995,124.6171,169.0674,110.7247,132.7755,106.7774,169.0,120.0959,124.3888,125.378,133.3134,124.8315,142.5249,119.9337,127.6613,143.9809,108.5098,141.2829,135.6802,141.534,128.8817,140.5881,112.7688,127.5599,121.928
ysiB,63.1788,52.1776,99.6693,78.6489,51.7609,92.9244,1249.6104,63.9511,69.4816,96.3707,77.7638,131.1453,133.1122,445.4337,57.6141,79.8376,87.5811,82.3849,82.7358,553.1415,517.0022,62.8634,97.1638,84.3356,68.1228,95.9775,126.175,697.1221
yslB,342.7745,401.055,312.2122,521.2789,757.7192,304.8736,312.3922,369.5291,287.1528,376.9127,832.9147,1056.8307,484.229,241.1874,350.2686,336.4968,242.075,483.0022,880.0772,379.0354,195.6225,363.9485,324.2377,218.3787,651.989,692.013,500.0596,230.7535
ysmA,97.1614,132.686,153.2243,131.8569,135.8723,103.8113,120.1759,107.8262,134.0002,159.4257,170.5319,184.1192,127.0137,102.5054,121.3908,124.6114,136.478,137.3487,164.0073,120.1438,94.5068,107.3494,135.3996,128.7573,157.2117,136.6544,103.683,98.3357
