gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h
ywkA,26.4878,84.8823,26.374,18.9253,60.0172,19.6283,114.5539,16.3895,12.5418,11.576,54.8707,77.0382,35.2453,9.3812,10.0921,42.129,76.6512,14.034,10.2651,31.4292
ywkB,56.7482,49.2982,27.9408,21.7684,59.3915,30.4137,88.9687,14.3639,13.3577,22.6688,43.4117,56.1076,34.9184,12.1484,14.9713,42.7191,56.0196,13.8391,12.8704,34.633
ywkD,58.1089,45.8588,47.0106,38.207,66.4352,54.0925,43.0814,38.2228,34.3187,18.7442,56.9385,49.7077,49.4268,30.8706,20.7116,69.8438,53.7169,41.9585,29.646,40.0919
ywkF,39.5918,42.0156,41.3038,27.3817,61.0567,21.0409,42.6562,25.2457,22.2628,23.5625,31.6024,34.2323,47.3469,20.7412,24.9521,29.9357,35.3065,34.4148,16.0879,42.6252
ywlA,72.4213,52.5947,82.2461,79.8368,105.3239,75.8801,58.0165,71.8304,52.9891,42.5455,82.4769,54.9815,81.9115,84.6298,47.2076,75.7454,57.2684,60.418,54.7028,87.3641
ywlB,111.285,30.2815,47.2794,27.5297,115.8126,81.2687,42.1622,20.3283,19.5981,49.5406,59.8782,50.9085,63.9823,21.1416,49.178,72.423,58.0171,24.6979,21.3678,57.6016
ywlC,143.6105,80.8507,63.4086,65.1479,95.8479,112.4535,86.2608,75.3833,69.0705,43.8329,114.5796,61.4435,68.9509,48.3647,35.3124,104.0837,64.6844,62.5961,60.6163,57.9801
ywlD,35.1927,18.7941,45.9802,33.5646,105.5212,19.2515,22.5403,16.6245,11.4905,19.7097,30.9049,41.3697,56.6805,9.6856,13.8692,24.6376,38.0652,21.9196,13.8391,53.4725
ywlE,60.1306,64.1085,42.7358,43.0853,51.1685,60.8046,80.0662,57.006,54.5933,61.9869,71.378,49.897,43.0617,42.071,66.5051,61.211,54.3704,46.0868,43.3477,51.9407
ywlF,757.3467,417.6906,318.768,428.9067,253.4037,676.3702,434.85,518.1459,582.1397,401.4407,648.2815,321.1493,294.6031,456.3844,332.2857,690.2371,319.8608,480.3426,454.5074,328.8772
ywlG,548.306,291.184,251.286,293.3622,170.2595,407.3338,357.1409,339.8283,424.2403,283.9895,459.6177,237.3613,214.1511,326.358,271.8118,469.0304,224.2968,350.6934,323.435,206.6106
ywmA,100.5803,89.1028,108.1115,120.9331,107.9905,95.0747,112.5,112.7479,139.5611,97.8463,124.2443,73.5138,128.1262,159.3369,100.3083,132.8222,65.0697,152.2344,137.0807,116.3576
ywmB,678.3498,621.6261,514.9645,613.7931,390.2953,775.0372,648.5526,664.1768,766.6944,655.2643,750.215,383.2452,519.3465,905.1732,712.4297,707.8446,353.7317,789.4561,886.7073,602.1603
ywmC,118.5438,14.5457,31.7131,21.9053,81.0194,203.3621,15.3947,8.4305,8.0347,11.2895,184.1868,26.7179,48.4545,7.4855,5.2531,232.3319,23.4551,14.1821,7.0964,41.1296
ywmD,84.9317,41.4304,58.0521,49.9442,126.8992,97.5279,37.7,20.8001,21.7115,36.4001,142.2884,48.0922,65.0933,34.5554,21.2925,158.7942,45.1923,30.3045,26.4762,74.7678
ywmE,1329.5017,322.0155,57.5913,37.7259,110.1898,811.0322,500.1389,34.0478,48.0593,132.8891,717.0601,374.0508,74.8198,45.6525,69.9513,729.2452,357.0747,46.8627,42.2202,70.5158
ywmF,10.5578,8.9633,65.1142,26.6971,132.6595,8.0338,5.4844,8.8795,5.2477,20.9625,9.9797,26.5509,75.7551,8.2965,20.1536,7.7671,38.6017,10.5441,10.1124,67.4899
ywnA,370.3112,189.2999,110.2401,149.5775,109.0238,296.0005,288.8619,141.5733,101.9626,111.1793,311.605,133.3902,98.4628,144.3478,112.0698,312.4233,140.5232,108.064,144.3456,102.2157
ywnB,40.9485,29.7381,42.8706,37.1572,92.1297,44.6204,40.0935,23.0409,19.9741,16.0374,45.5149,44.1969,58.4093,24.8118,11.1935,43.9168,36.6043,23.3219,18.9017,43.8203
ywnC,146.8195,109.2404,71.6742,89.8461,86.0344,164.2627,153.8672,102.5062,56.0545,23.1563,162.7939,78.2751,56.7177,74.8163,27.3514,172.3327,78.8511,68.0973,60.9044,67.0459
ywnF,776.1809,197.193,151.207,198.0545,197.8313,483.7699,206.431,223.0506,188.4549,277.5729,426.1677,159.7547,156.7346,179.1709,264.9559,417.8169,150.6409,190.5211,246.5022,159.1341
ywnG,236.7878,134.1907,89.8824,110.9196,95.7399,165.5854,158.9306,119.8025,120.8918,91.0753,165.6746,104.7095,81.0098,136.4703,94.7937,155.7911,95.3479,109.7075,114.3559,102.1691
ywnH,195.2558,144.169,113.3439,117.1804,115.5596,164.8245,148.5994,150.0267,149.4403,109.952,183.2418,125.542,120.554,158.2182,111.5562,157.6817,97.5536,143.1288,126.2668,133.5248
ywnJ,41.1829,17.7995,48.5238,33.0911,103.9262,39.0702,24.2021,34.3771,38.4354,42.5958,41.9006,27.8548,51.0407,35.6403,40.5115,31.9498,38.9957,30.4109,28.1661,64.4921
