gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
ytrH,5.5567,11.0076,32.7361,14.9879,65.0492,9.1287,11.2755,7.6974,8.797,9.3738,8.8948,41.4918,8.404,19.6869,29.9033,6.6538,12.9307,49.3346,10.9012,16.5176,10.4824,7.7416,38.8862,39.5814
ytrI,12.5688,16.0059,39.3369,16.429,75.594,11.8258,19.1281,13.3482,14.9236,13.1759,24.6072,48.7564,14.7319,20.9926,43.2135,19.1891,26.8715,67.5363,13.8698,19.2784,15.8998,12.6952,48.3762,46.53
ytsJ,815.8539,619.145,593.2328,708.486,324.7712,829.8217,680.6817,693.8868,829.8224,872.3107,692.5122,495.7146,723.5891,456.7398,549.7312,939.4005,742.8759,399.2174,678.8188,429.015,880.1292,847.8241,563.4964,526.5173
yttA,129.3225,102.5922,124.5846,134.5991,105.9296,96.1264,103.6145,134.6988,141.6359,129.3617,79.5664,84.5564,122.1612,105.9059,100.1448,143.177,76.9608,90.9369,141.9291,89.5376,142.8465,136.1614,89.9295,81.6748
yttB,46.6878,39.6368,33.2091,32.1976,78.6568,15.9262,47.2916,46.5452,17.2183,16.1097,16.2664,38.6973,48.9457,34.8407,44.0953,14.5322,9.4909,54.8038,38.6404,35.2,15.0125,13.859,37.8415,42.4753
yttP,356.8336,182.7138,191.7542,195.8843,158.4058,302.4681,298.8401,190.3125,287.2785,292.1072,452.2508,249.3155,313.2091,140.269,184.8351,292.1995,381.812,182.2204,313.6717,146.6576,216.6273,294.1796,214.219,230.9914
ytvA,187.7839,77.3172,98.8175,112.6202,113.3849,166.1031,152.7913,89.313,119.6163,131.1003,133.3743,127.4765,151.7524,74.9529,109.1509,134.6252,133.2734,123.5707,134.8868,75.3204,112.1485,127.4404,114.318,125.4084
ytvB,253.3874,72.5214,96.1252,78.8592,231.7126,217.5951,336.3766,81.5455,78.2537,77.0234,210.6004,294.7111,444.1875,88.8978,92.3982,97.4026,299.0068,186.2859,483.679,97.9166,67.0989,114.9975,177.7342,212.6143
ytvI,64.1415,88.1875,75.8673,60.9463,119.0098,81.1277,62.444,83.871,68.0707,75.5088,80.9356,104.3578,68.4629,85.7559,80.948,59.6428,86.6824,103.2014,78.2975,93.7456,65.192,71.9633,80.8199,91.7421
ytwF,371.5536,220.6355,231.7497,334.899,172.0688,256.5294,310.7583,266.25,361.6092,241.4655,270.7505,178.5975,311.6738,188.053,199.7069,351.0041,253.3601,156.1218,332.3426,167.2983,330.5171,330.2449,220.2303,178.4378
ytwI,42.9124,58.9844,46.1474,45.3653,90.8151,37.8426,55.089,86.1774,51.2215,38.411,47.8065,107.5521,46.3573,64.6401,66.3875,36.0915,59.4393,82.0352,51.1126,58.7985,45.351,38.4331,56.8336,82.8242
ytxB,68.0831,104.2928,115.5325,90.897,131.1396,119.3634,86.2374,107.979,101.1454,132.3283,108.617,114.0196,83.9414,90.6411,120.6535,96.1459,109.3517,116.7793,83.4783,102.7737,109.3828,109.63,115.5263,113.7424
ytxC,75.6268,106.1613,89.0521,73.8723,99.6747,102.9937,83.0242,103.0319,88.9063,103.3967,100.681,93.0712,77.5727,92.66,103.4245,80.3588,98.9918,100.9329,95.574,94.5512,91.2327,97.0167,86.4597,86.5405
ytxD,66.5181,46.2941,43.858,39.4778,108.1657,33.9613,51.1204,54.2857,37.9594,28.5187,30.2858,74.1647,53.2251,49.0318,67.9853,36.8153,24.6358,94.5867,50.0737,48.0064,44.5453,36.6377,69.5327,71.701
ytxE,23.4618,26.9268,30.7154,24.8801,80.5866,17.9091,19.6476,29.2901,14.1006,11.9363,11.8766,37.981,20.0415,20.1209,41.8264,9.7548,5.6871,54.7421,12.4657,21.6972,16.1994,9.9876,42.099,33.7381
ytxG,2853.5407,1742.2449,581.4925,673.5894,444.9736,1406.6158,2632.6666,1808.4895,867.639,1062.2523,1362.8358,722.2476,2406.2171,1645.378,565.9711,1057.4696,1109.4103,667.3579,2538.8736,1519.4854,972.889,1176.7183,779.4889,874.7391
ytxH,3609.7977,1983.1341,774.9255,966.2852,561.7798,1915.1607,3242.5179,2017.3519,1194.7485,1468.3387,1759.6215,1037.547,2775.933,1789.2212,770.8411,1466.5399,1520.1609,931.7806,2827.8407,1636.7332,1271.3046,1568.6352,925.7898,1278.5899
ytxJ,1818.0738,912.7783,415.8464,525.1254,324.685,1058.8993,1563.3814,945.4816,668.5753,721.9791,858.7171,530.7956,1437.0772,846.394,439.0088,775.0613,819.881,455.4055,1328.9594,773.9349,678.4342,838.007,495.8603,631.4506
ytxK,339.7694,225.441,127.6957,129.839,98.9017,93.4598,254.2996,220.1136,195.7609,158.6729,98.3274,97.363,288.6251,168.3228,131.2323,154.58,79.5676,90.5495,259.3744,162.5096,183.1905,145.5297,103.1616,97.4482
ytxM,100.971,182.5257,81.141,86.0283,89.1326,71.557,91.1472,201.0273,153.4684,90.7627,68.3565,85.3718,110.0308,164.6795,88.6105,78.2669,53.9385,77.3598,123.7089,161.3227,113.2373,81.8354,76.6737,79.4993
ytxO,4.3991,18.6736,29.1556,19.1672,75.2416,10.5118,3.188,30.4687,16.2501,9.0111,24.9167,144.2092,3.881,22.8215,51.2925,7.2429,80.6146,62.4905,3.2363,26.1529,19.5261,6.6395,49.3347,63.5532
ytzB,670.3212,411.8053,379.9398,605.0835,345.6038,540.864,517.975,439.6698,584.215,536.4668,551.1519,457.66,538.5273,308.5163,330.5351,586.7901,503.2436,350.644,537.8356,287.781,626.6779,673.699,424.6437,415.494
ytzC,83.5343,77.8134,57.2433,75.104,68.3152,139.3108,77.6896,133.9286,96.4291,46.972,112.2859,207.2809,51.7629,61.6567,70.0665,63.5584,221.7218,88.675,63.1611,60.4219,68.7491,96.1741,58.7073,111.0435
ytzD,107.9776,95.7445,90.1174,101.5612,94.8649,113.9579,81.3814,81.9886,169.0432,161.3328,223.364,93.0805,88.9101,65.5803,87.5201,159.4645,217.7641,90.0308,90.0279,71.8968,118.2218,175.5049,130.459,92.441
ytzE,2639.4518,1401.4269,1735.6783,3125.064,916.9001,2397.1261,1873.5216,1649.5946,3067.3152,2582.8255,1817.1924,1121.7135,1783.3998,909.8532,1320.5953,3490.2796,1843.8642,945.0679,1689.8709,863.1316,2928.6014,3038.1992,1678.8959,1335.4759
ytzH,556.2716,292.9945,311.8292,339.1796,174.7546,403.8582,516.3358,348.0645,453.8045,474.392,377.42,241.8993,443.8285,180.1304,302.07,435.3412,439.851,189.8379,413.4106,157.1201,463.3359,453.9223,327.5572,229.6115
ytzI,498.6879,734.2292,686.501,1170.3048,462.9442,1727.0732,494.238,831.8617,1095.3255,1136.8225,889.5335,951.1669,535.0819,584.9517,705.1669,1319.3643,872.3038,771.0438,551.9605,525.6406,1180.0424,1422.3895,771.4862,1015.4989
ytzJ,631.8188,966.3577,939.0537,1058.6443,1176.7285,4365.2065,628.3587,856.1719,1124.3034,1803.2846,2091.3787,2255.0709,649.9281,725.1408,1101.8024,1890.408,2330.6254,2163.3093,660.2042,656.7002,1503.6333,2403.9987,1714.777,2610.6461
ytzL,7.9682,20.2943,52.8102,30.9981,157.5115,39.2707,12.1265,29.434,28.3829,18.7223,35.3208,146.9301,12.051,25.7097,75.0404,28.6239,78.2244,121.8027,19.0514,35.5285,18.5682,9.7135,69.7016,85.1373
yuaB,1020.3947,1096.7752,368.6637,521.0343,299.6107,719.4258,1069.9975,1180.7143,677.2999,552.3405,489.4294,442.7697,1710.3675,1036.2733,326.7458,628.8119,547.2174,304.4509,2043.347,1006.8937,473.9054,613.817,325.7004,369.7958
yuaC,121.9106,78.7385,93.2121,117.2723,113.5881,81.5394,115.1492,96.9613,120.9715,93.1979,100.409,85.4101,97.4813,58.4547,87.1951,113.6753,85.5138,97.8112,93.9777,57.8428,106.412,100.3624,102.6773,83.2161
yuaD,135.1181,125.858,105.1415,137.2205,137.1259,107.8417,128.9215,166.2047,168.0099,131.3026,117.2023,120.7472,134.8553,101.7496,110.2308,146.8922,115.0444,130.7528,127.1713,101.468,144.5945,147.0898,130.4523,120.8499
yuaE,1150.9953,402.5245,314.3321,343.9005,242.1835,651.7987,953.0731,425.2914,477.3341,386.7986,460.3444,450.4988,831.6827,292.094,259.101,524.6912,471.394,358.5412,808.1605,267.0872,421.3329,526.9965,338.9097,424.9876
yuaF,910.6109,201.6747,145.7781,190.9872,201.672,408.9763,1090.3027,254.4141,275.5262,240.1199,511.8759,283.9118,756.3783,174.0839,126.2585,332.8461,476.4898,205.3017,665.0587,179.2784,178.2979,393.7716,251.9032,270.1011
yuaG,556.4586,191.2175,138.5749,151.018,180.1444,331.6795,652.4263,177.7941,222.8584,260.4183,462.9538,237.7472,523.3278,155.5925,123.659,239.0868,435.9059,199.7459,430.5415,139.4167,176.1486,352.4387,216.0792,256.3312
yuaI,357.9946,161.7518,117.5161,150.6937,158.9898,280.5574,434.8019,146.25,187.7967,203.1067,346.5179,196.5886,369.8225,130.8256,112.1088,195.6276,367.9944,154.0246,284.3476,122.9368,132.9123,306.0144,181.2797,193.2163
yubA,300.4497,197.2391,179.2808,239.7199,161.9807,305.9513,223.7547,223.3226,275.8518,256.2631,269.0905,206.5639,223.5043,157.6288,177.8654,308.5808,273.314,178.9015,225.8252,143.6704,272.1409,298.9061,206.8802,209.7746
yubB,350.6564,232.0108,200.9667,265.2366,136.7413,244.5426,230.3661,302.7076,288.7304,270.0466,227.5239,168.2614,252.4829,170.1458,183.6901,307.0418,208.5419,150.2479,237.2193,173.4818,292.5957,290.4625,192.0443,161.7509
