Feature.ID	gene name	HS_0.norm	HS_15.norm	HS_30.norm	HS_60.norm	HS_90.norm	HS_120.norm	R_0.norm	R_15.norm	R_30.norm	R_60.norm	R_90.norm	R_120.norm
YBR240C	THI2	24.24	72.19	80.6	73.14	85.3	130.13	33.13	26.49	24.91	28.61	30.07	25.91
YOL055C	THI20	221.05	373.16	496.67	473.32	568.29	619.76	189.33	235.68	208.38	296.59	265.78	257.36
YPL258C	THI21	104.11	128.12	213.36	319.47	375.09	405.85	121.17	135.19	133.63	142.1	174.6	137.32
YPR121W	THI22	158.3	127.1	190.84	241.28	244.58	241.56	142	156.2	140.43	143.05	165.87	160.63
YDL080C	THI3	270.97	184.04	297.53	310.22	326.79	309.88	200.69	252.12	220.84	282.28	299.73	288.45
YGR144W	THI4	19.97	36.6	78.23	92.48	118.18	151.28	33.13	31.97	26.05	32.42	37.83	48.36
YFL058W	THI5	0	5.08	8.3	16.81	21.58	19.52	2.84	0	2.26	1.91	1.94	5.18
YPL214C	THI6	352.26	482.97	481.26	422.04	470.67	567.71	400.44	503.32	534.54	488.28	519.92	528.54
YLR237W	THI7	209.64	103.71	126.83	218.59	225.06	222.85	150.52	192.74	140.43	120.16	119.31	114.86
YOR192C	THI72	71.31	197.26	234.7	283.32	250.75	281.41	74.79	79.47	95.13	114.44	123.19	126.09
YLR004C	THI73	71.31	68.12	118.54	196.73	174.7	189.51	58.69	67.6	58.89	72.48	53.35	75.14
YDR438W	THI74	179.69	327.41	395.91	464.07	478.89	526.23	198.8	319.71	280.86	305.17	319.13	286.72
YOR143C	THI80	326.59	140.32	119.72	136.2	134.62	133.39	476.17	327.94	338.62	282.28	230.86	287.59
YER063W	THO1	289.51	776.83	522.74	359.82	305.21	300.12	321.87	261.25	243.49	320.43	349.2	319.54
YNL139C	THO2	375.08	337.57	367.46	331.24	317.54	339.16	284	331.59	328.42	327.11	355.99	341.13
YOL072W	THP1	178.27	197.26	105.5	126.95	166.48	177.31	142	165.34	144.96	164.03	193.03	171
YHR167W	THP2	169.71	95.58	88.9	84.91	79.13	65.88	206.37	213.75	211.78	234.6	191.09	179.63
YPR045C	THP3	285.23	448.4	471.77	336.29	303.16	305.81	375.83	296.88	304.64	314.71	243.47	269.45
YHR025W	THR1	1711.38	540.93	445.7	806.24	816.98	538.43	955.19	1206.69	1184.59	927.91	1024.32	921.49
YCR053W	THR4	2046.52	737.17	823.83	1038.28	940.3	849.94	1536.44	1810.5	1816.52	1830.08	1852.7	1721.21
YIL078W	THS1	5300.99	1268.95	1290.86	1668.81	1697.68	1655.14	5288.08	5146.49	5024.87	4425.95	3980.88	4249.91
YKR059W	TIF1	658.88	207.42	123.28	335.44	296.99	250.51	568	586.45	627.4	483.51	402.55	443.9
YMR260C	TIF11	3777.86	1075.76	664.99	1293.86	1188.99	1067.1	5160.28	3756.19	3651.16	3103.22	2563.71	2437.16
YJL138C	TIF2	854.26	136.25	183.73	256.42	245.61	170.8	670.24	772.8	656.85	558.85	495.67	470.68
YPR163C	TIF3	3010.6	376.21	500.22	734.78	634.06	605.94	3433.56	2709.35	2448.45	2266.86	2025.36	2075.3
YMR146C	TIF34	2512.87	444.34	627.06	857.53	805.68	823.91	2344.89	2202.38	2016.97	1935.93	1746.97	1728.12
YDR429C	TIF35	2328.9	508.39	529.86	675.93	604.26	590.48	2636.47	2040.69	2064.54	1963.59	1752.79	1583.03
YGR162W	TIF4631	2761.02	243.01	494.3	710.4	613.51	489.63	2731.13	2507.47	2500.55	2141.93	1960.37	1762.66
YGL049C	TIF4632	466.35	372.14	356.79	357.3	303.16	288.73	433.57	469.52	399.77	351.9	350.17	399.86
YPR041W	TIF5	1976.64	445.35	585.57	733.94	700.86	617.32	1836.53	1487.13	1590.02	1553.52	1340.54	1303.21
YPR016C	TIF6	3047.68	444.34	610.46	731.42	710.11	664.5	3003.77	2632.62	2509.61	2001.74	1731.45	1500.12
YHR005C-A	TIM10	1140.92	600.92	630.61	672.57	628.92	516.47	1430.41	1097.08	1091.72	865.93	928.29	968.13
YDR322C-A	TIM11	804.35	1083.9	884.28	657.44	614.54	644.16	966.55	693.32	687.42	637.05	635.35	614.04
YBR091C	TIM12	162.58	104.73	124.46	143.76	166.48	168.36	225.31	192.74	233.29	234.6	279.36	278.09
