,Rep3@0min,Rep3@30min,Rep3@60min,Rep3@90min,Rep3@120min,Rep3@150min,Rep3@180min,Rep3@195min,Rep1@0min,Rep1@30min,Rep1@60min,Rep1@90min,Rep1@120min,Rep1@150min,Rep1@180min,Rep1@195min,Rep2@0min,Rep2@30min,Rep2@60min,Rep2@90min,Rep2@120min,Rep2@150min,Rep2@180min,Rep2@195min,Rep3@210min,Rep3@225min,Rep1@210min,Rep1@225min,Rep2@210min,Rep2@225min
yefC,4.29372930015724,4.67595173231203,4.38971361505067,4.23451419854929,4.54987685558791,4.09535759705794,3.83085636397933,3.91764654434675,4.57751600133505,4.15602515089408,3.84625789166217,4.04786340721167,4.3377557299044,4.29434595422809,4.18289841240742,3.74071803215568,3.69723375500153,3.9085030650975,3.83068181842494,3.8945234452957,3.93198759242299,4.31094290177914,3.75929545696803,4.15435955569826,3.36290029696727,2.55329500928137,3.84339596667763,3.40223074773575,3.11776121339582,3.05089625829338
accB,7.31456191351222,7.86472699205017,7.87738189903464,7.82226177532519,7.73448119637111,7.61263437255708,7.4817707046303,7.24224732796653,7.38561031588706,7.96926464889151,7.88517312573709,7.90461022318947,7.83488767961544,7.80181028008144,7.89306134678514,7.7050356656093,7.18689542361188,7.90746028143884,7.78569437272664,7.60661127993892,7.7655074587771,7.91929117323984,7.67662515158873,7.62263597991466,7.39351201569981,6.44351683420825,7.67099995433232,7.58283381964913,7.56285130490538,7.60614519676794
ureC,3.62826213532299,3.83275739887095,3.70635487751421,4.28884433390977,4.08970766150938,4.11314734486421,4.48020527189799,4.68855127052894,3.93059887817319,3.84544503781501,3.66113288881492,3.94884423313054,3.89528815619857,4.15443405642076,3.96937589858623,4.14754358994697,3.72149381199435,4.10522709858437,3.89606405566976,4.53553132508954,4.2668339989413,4.16504836140992,4.32585373999693,4.1146417078748,4.85054594808813,5.30519086704159,4.1346375592593,4.55528192434731,4.73637321700394,4.59597979829784
msrA,6.70933547834889,6.19671000359691,5.52039727120893,5.17470885955203,5.07527742984148,5.11006747437738,4.52633853680455,4.24450854615564,6.78191018514238,6.6969017660224,6.49909534556329,5.98611012983591,5.52321345743001,5.29820882540199,4.98627145183811,5.26434908236324,7.26913656630594,6.77007786973092,6.12788045108685,5.41885266765058,5.33638705052134,4.91798381440256,4.72521354810284,4.81157852540652,4.4751118078823,4.11078573417315,5.21636679125324,4.95055004881381,4.81072835411595,4.79942194991972
mdxE,0.902714860157721,0.948990557078389,0.361688173976538,1.32547068889194,0.901959659772662,1.32925916771784,1.3303350931005,0.0314931624286044,1.08234067743316,1.15204454448026,0.402690744481128,1.06646974492621,0.954005089298754,1.10595466257147,2.13040022697505,1.47605739918659,0.169278337628979,0.671324769372761,0.851837331510696,1.05419362025481,0.922881711089432,1.97238589196012,0.651805556212104,0.887506370057079,0.854324925711785,-0.407897561736192,2.02521352524242,1.45956197460437,0.705980117759992,0.592430891705133
bioD,-1.10823263533349,0.608587902162312,0.403561531880546,0.396478081584204,0.790387893161893,0.688308592795826,-0.157171822273038,0.147260367195303,-0.557487695880743,0.0791371791246265,0.762536792441187,0.325589557190508,0.211097015258195,0.535274019114449,0.910534484239355,0.205681483906013,0.0863067474536405,-0.616358139375095,-0.0560233530943241,-0.0427819738122007,0.770636021042452,0.977148840517953,0.418377697053647,0.0054408861985111,0.957140761971921,0.783762752191372,0.824406805580854,0.85538221284336,0.705980117759992,0.665129171693399
leuD,6.91303607840829,5.54484017785057,2.53306021408494,2.4875558831728,2.28049835871707,2.63787636916117,2.24674236841913,2.23083499030527,5.38197134175232,2.88345493067223,2.01331752578368,1.53548446043899,1.24248943218458,2.52165615593353,1.92424111528606,2.36570079662388,5.71946842983592,3.49260925584582,2.40225389559007,2.43132485518544,2.19916923311374,2.38623019308198,2.70044632243113,2.19216123296445,2.3822050925176,2.69865217045614,2.12903799929582,2.30051480113032,2.03507962002953,3.15553338126331
yjlA,4.65561027760247,5.45493464502147,5.12620390123383,5.10516585592622,5.26461819614229,5.50143956958407,6.06738972185796,6.48917205280895,5.02256084796522,4.96303093293633,5.25411750179909,4.8216550113619,5.15300377767449,5.14668168050839,5.40597451138993,5.40359464890491,4.98352646908177,4.99968227494234,5.36330820217801,5.51501799864321,5.31865030181478,5.04956089401961,5.94755876692584,5.62697502487172,6.58332209631143,7.0784470942512,5.45910670705972,6.02310849011824,6.05364680146607,6.36036834033109
bceS,5.64587802186579,4.87815778707463,4.08972627018158,4.06539312481186,4.46612283483996,4.16949419340476,4.38326235152719,4.52694441734997,4.67048878356819,4.24059097879193,3.9105434394533,4.02859581264414,4.12215874501281,4.15443405642076,4.43977905305116,3.92686608483506,4.73383852121699,3.9481008375517,3.86737045324972,3.9788470535258,3.90663993855773,4.28361046575224,4.17468329521385,4.30312350106224,4.55923927334508,4.36909572912297,4.39183286096256,4.56606814431112,4.05403983336452,4.70344304763816
yuiH,5.83143453895972,6.35308299923113,4.87405648572182,4.91098696989547,4.86418395627442,4.76378947159292,5.0505798324268,5.21837678247165,6.19271353570342,5.78961393956842,5.5273679497733,5.17996197268134,5.02757256228364,4.80087679612999,4.63375985843129,4.74534873854864,6.4800602824881,6.2051670858627,5.28139353511555,4.84665128077824,4.94463075990545,4.68192779306765,5.03248881807539,4.78335755491523,5.12075491480444,5.46501754190464,4.82184328486949,5.19250242223814,5.24095792896191,5.21410699062575
ytrE,7.0941428085946,4.62251754677289,4.79956161974768,5.44761752046302,5.96096312724874,5.5977755761696,5.13774622214227,4.3569985222952,5.06558234432021,4.03496006007795,3.30577428147971,5.13262070840209,5.52565726738643,5.60947039978171,5.70788732659099,5.29199098467852,6.03712519908182,4.21885461085701,4.4640611797753,4.87281449516491,5.50028413630777,5.7505632033271,4.69611787413551,5.51511161758574,4.40863183195186,3.52842485648438,5.30928563878218,4.79725439870957,4.69443795944661,3.64330438402089
