,Rep2@30min,Rep2@0min,Rep1@180min,Rep1@150min,Rep3@240min,Rep3@0min,Rep2@240min,Rep3@195min,Rep3@225min,Rep1@225min,Rep2@225min,Rep2@180min,Rep1@30min,Rep1@195min,Rep3@180min,Rep1@0min,Rep3@150min,Rep2@150min,Rep1@60min,Rep3@210min,Rep2@120min,Rep3@120min,Rep2@60min,Rep2@90min,Rep2@210min,Rep1@210min,Rep3@90min,Rep2@195min,Rep1@90min,Rep3@60min,Rep1@120min,Rep3@30min,Rep1@240min
ypuF,5.13450917053295,5.12014580958836,3.78118315998306,3.93461653067988,4.27339370454279,4.4647136775228,4.3314565893579,4.38084834693273,4.51582713703924,3.98782854126475,4.29750884906245,4.28301215176693,5.04761664023545,4.10958129428073,4.1939604788064,4.76186118996653,3.99338807027585,3.91192438692237,5.23272376968992,3.80328671292245,4.12331992036159,4.13608673656136,4.86510838982099,4.59331923292401,4.20411850599103,3.97262517348957,3.98249476723549,3.98296906312053,4.62614648414414,4.45339591358328,4.40301105627484,4.44283960893819,4.29564278821435
minC,8.38082114930219,8.47327014832888,8.48557471406466,8.3610888579598,8.50670683041748,8.55785772500944,8.42257983152502,8.41426445079648,8.26900958749171,8.36703499800015,8.44859248140361,8.47351973278776,8.59390027107303,8.28709264860426,8.39929264576295,8.62636299128899,8.43637668886488,8.49606661715698,8.31185876905117,8.51433279726522,8.26079738656136,8.43048024546858,8.18826396956282,8.15507074869213,8.41432626090651,8.37285540734504,8.38704093115712,8.53939651829448,8.43373425838533,8.41610943467334,8.40078226697763,8.55544615189707,7.93323965473801
rsgI,6.43940431192626,6.54994686600538,4.67667637691016,5.2471056504686,3.33699500417774,6.46239138657627,3.74219226543241,2.98896947653295,2.53620169431054,2.95407840485988,2.96711616609079,3.36653999080984,6.53611116517939,4.95912617923142,3.77315818754415,6.37346525203131,4.69458110036498,5.00841340618956,6.40181063140508,3.05048120674778,5.41810136796486,4.99890619771362,6.09499923110684,5.35346553387705,3.31799015364393,4.4125568891781,5.2635712953105,4.51626880285311,5.89683927990877,5.66190070494111,5.52809694472368,5.82158105607485,4.664971705095
tsaE,5.88642429810691,6.0433250591593,5.98234422680626,6.01292980993391,5.27399863661932,6.5462767865474,4.95477641481994,5.63261264241197,4.48498051270673,5.33804927724457,4.88180579342547,5.69811539291947,6.10930465506962,5.58159898931868,5.7173072346018,6.48919793749988,6.17989636542457,6.16426544587915,6.08809395749048,5.28788528264959,5.96559140863514,6.38488096633565,6.06372426683382,5.7949980090326,5.49320670143691,5.79750165459421,6.30139354791942,5.9887186276444,6.24730285086427,6.28238089527713,6.27201558336325,6.38938862369664,4.76436577970909
xylB,4.06527154386028,4.48125611649743,3.89055026168827,3.80309167653945,1.58610843910366,5.11949742743829,2.1806519504928,2.40376426814134,2.61971225830742,3.48033358772808,3.10416326419932,3.11621357604602,4.22683644034433,3.98608587267215,2.71963860167963,4.42829367914033,3.82009248489011,3.84338114397922,3.9105434394533,2.91654937073007,3.37356489590572,3.62039046055935,3.73465814983443,3.79951815222233,3.35158776841645,3.8821213585277,3.36214772968036,3.89191964017613,3.57231342652926,3.38959951045985,3.92150651305361,4.09872331380016,2.75104239390407
murG,7.29212550684728,7.22254372946262,7.91712295354399,7.70865552484675,7.69365802972995,6.94044731809683,7.71204125839822,7.80947926608316,7.38092380033953,7.67912729836083,7.6526997042093,7.63379182609717,7.36632102108726,7.49249065225209,7.76054772814188,7.40892733735888,7.78899831273929,7.93071757092449,7.14205057866855,7.73929641249374,7.61084209209373,7.88846716445935,7.04372810278202,7.32280444217464,7.44231421136503,7.6104646954227,7.78021034042581,7.82615731582124,7.39809212961586,7.57356248976592,7.65961640558317,7.37732095829068,7.40116077186835
ykzL,4.02417782035285,2.44082227378218,7.49245371670947,6.48316522332527,8.30926541584421,4.2775541032655,7.97814111486011,7.85648433700901,8.08914428851708,7.43131071777975,8.59591079203165,7.74095739411897,3.47844189989688,6.98729175596039,7.73848187950604,2.94823441368546,7.02794387719687,7.77259205605694,3.35280684622499,8.2799950289228,7.4372662517294,7.76569975518986,5.09596409494127,7.0573419844297,8.15336553103617,7.5175220784568,7.27710273848062,8.54687695958923,5.00698963664804,6.18369444497231,5.89332060864214,5.15616257606285,6.24737270286209
lytG,6.56489986495732,6.79130587335559,5.86766965339262,5.90687790328805,5.98178217074727,6.31055007930038,6.09808204444696,5.76310796114163,5.56952715318584,6.02831789789385,6.20446010612882,6.06727394857281,6.64742347057215,6.16422286657319,5.92629021372913,6.45164256284765,5.98474589516798,5.79358499974452,6.71697528448446,5.91730057660461,6.184278816538,5.81714507319608,6.52747915176189,6.00118684287228,6.26345023143305,6.06019637513356,5.66498902864077,5.99283236091542,6.36335334487562,5.86006730740132,6.28818300898589,6.2004873958857,6.41988903877986
yvfG,6.79946601638385,6.32584268415915,6.02356318943549,6.14731673205312,6.89208437861162,5.74500264822034,6.9882944271034,6.99136228833943,7.67641269393241,6.82199765540824,6.92957818142358,6.5687432397733,6.52491417786427,6.28966042594321,6.70804148694072,6.06806146890891,6.23272577680984,6.13493326351918,6.35141958551439,6.83609390812748,6.08930603972793,5.8522970233759,6.56034316760604,6.53773342030857,6.78382455054333,6.34990585437172,6.01326391684603,6.24127713205245,6.33618396282945,6.11131186702586,6.31386084401899,6.22046813344867,6.52567000346289
lplC,0.890412946897385,0.586478909738532,2.0310000234451,2.20009335269353,2.35984825061272,0.475486383330857,2.68578224955824,2.90921470570136,3.43006311911751,2.79201873865059,2.75034169072362,2.4131832489681,1.20912310630631,2.14094819484952,2.36081657329928,0.700907279737833,1.92037722710227,2.36030009353714,1.01732217805156,3.01516991364504,1.78780345953145,2.30099904957656,1.40473095250942,1.78476078344925,2.15410057335054,2.4486440924797,1.91876473249341,2.38812477164994,1.11599455075704,1.29748062289716,1.52248437482136,1.33246266924621,1.77182069529252
yorM,0.930503487584807,0.64563194972674,-0.117275742995442,-0.834002441821977,-1.56102954154762,0.549407241990272,-1.08928966998533,-0.555355678165031,-1.06739526943874,-1.56102954154762,-1.01520132848557,-1.56102954154762,-0.0488576867266329,-1.05730060400494,-0.569966424030428,0.829357218593882,-0.20238791175241,-0.313787521203171,0.350676830191676,-1.56102954154762,-0.0793031283080601,1.39695357201573,0.327790412493164,-0.208445678119048,-1.56102954154762,-0.738760057188013,0.0269086878364276,-0.281999312253433,-0.004071832822199,0.483829615729149,0.0574388797230116,0.229235968409007,-1.56102954154762
yjcR,-1.17339112001078,0.0429600788238611,0.50757281562144,0.109848135620195,0.661625578931336,-0.618625532465152,0.722243019697989,0.0314931624286044,0.662975304319888,0.356053209696092,1.2885865406253,1.22276665358025,-0.51942960774535,1.17043477205279,0.540675596865991,-0.47929901159906,0.688308592795826,0.542398371064072,-0.0082703273104606,1.14309942357257,-0.0793031283080601,0.669458954735651,0.19553404615773,0.680462266125455,0.705980117759992,1.37586390232873,0.612366547151598,1.94282738984977,0.446667559828644,-0.334610007362832,0.0574388797230116,-0.748285425714518,0.510490119403848
